num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,num_error,error
00159222B10001408,*,000A81069197,2002300,00159221330002607,20221403  121M2  660,33281.90,033042100474,2015140030010000039,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001408
00159222B10001415,00159221310033285,*,2001000,00159221330001261,20221403  122AU  650,5323778.25,400000009567,2017140030011000002,1,Los campos DIR3 son requeridos
00159222B10001416,00159221310103396,000A79115465,2002300,00159221330004691,20221403  122AU  650,5323778.25,223012100631,2017140030011000002,1,La aplicación 20221403  122AU  650      no existe en la operación 00159221310033285
00159222B10001416,00159221310103396,000A79115465,2002300,00159221330004691,20221403  122AU  650,5323778.25,223012100631,2017140030011000002,2,Insuficiencia de saldo en situación aplicación 20221403  122AU  650     de importe TBSITGASCOR.
00159222B10001416,00159221310103396,000A79115465,2002300,00159221330004691,20221403  122AU  650,5323778.25,223012100631,2017140030011000002,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122A   65      de importe 5323778.25.
00159222B10001416,00159221310103396,000A79115465,2002300,00159221330004691,20221403  122AU  650,5323778.25,223012100631,2017140030011000002,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122A   65      de importe 5323778.25.
00159222B10001416,00159221310103396,000A79115465,2002300,00159221330004691,20221403  122AU  650,5323778.25,223012100631,2017140030011000002,5,Clave 20221403  122A   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001419,00159218310138211,*,2001000,00159218330003575,20221403  122B1  655,131284500.45,103000003743,2018140030106000001,1,Los campos DIR3 son requeridos
00159222B10001420,00159218310146037,000S2830284B,2002300,00159218330003809,20221403  122B1  655,131284500.45,103000004130,2018140030106000001,1,La aplicación 20221403  122B1  655      no existe en la operación 00159218310138211
00159222B10001420,00159218310146037,000S2830284B,2002300,00159218330003809,20221403  122B1  655,131284500.45,103000004130,2018140030106000001,2,Insuficiencia de saldo en situación aplicación 20221403  122B1  655     de importe TBSITGASCOR.
